pos_id,side,open_time,open_price,lot,sl,tp,half_exit_time,half_exit_lot,half_exit_price,pnl_half_usd,final_close_time,final_close_price,final_close_lot,final_reason,pnl_final_usd,hold_min,total_pnl_usd,running_balance,atr_ratio,trend,multiplier
1,SELL,2024.01.02 17:00:20,2058.31,0.12,2061.31,2038.31,,0.00,0.00,0.00,2024.01.02 18:00:10,2061.31,0.12,SL,-36.00,59.83,-36.00,9964.00,0.913,strong_up,1.00
2,SELL,2024.01.03 11:00:19,2055.98,0.12,2058.98,2035.98,,0.00,0.00,0.00,2024.01.03 16:00:15,2035.98,0.12,TP,240.00,299.93,240.00,10204.00,0.943,strong_up,1.00
3,SELL,2024.01.03 17:00:00,2037.93,0.12,2040.93,2017.93,,0.00,0.00,0.00,2024.01.03 17:00:01,2040.94,0.12,SL,-36.12,0.02,-36.12,10167.88,0.952,strong_up,1.00
4,SELL,2024.01.03 18:00:00,2032.62,0.12,2035.62,2012.62,,0.00,0.00,0.00,2024.01.03 18:00:08,2036.06,0.12,SL,-41.28,0.13,-41.28,10126.60,0.952,strong_up,1.00
5,SELL,2024.01.03 21:00:08,2030.65,0.12,2033.65,2010.65,,0.00,0.00,0.00,2024.01.03 21:00:10,2033.75,0.12,SL,-37.20,0.03,-37.20,10089.40,0.955,mixed,1.00
6,SELL,2024.01.05 15:00:16,2030.65,0.12,2033.65,2010.65,,0.00,0.00,0.00,2024.01.05 15:00:23,2033.67,0.12,SL,-36.24,0.12,-36.24,10053.16,0.837,mixed,1.00
7,SELL,2024.01.08 13:00:05,2024.52,0.12,2027.52,2004.52,,0.00,0.00,0.00,2024.01.08 17:00:04,2028.70,0.12,SL,-50.16,239.98,-50.16,10003.00,0.866,mixed,1.00
8,SELL,2024.01.11 18:00:05,2016.79,0.12,2019.79,1996.79,,0.00,0.00,0.00,2024.01.11 21:00:03,2019.80,0.12,SL,-36.12,179.97,-36.12,9966.88,0.902,mixed,1.00
9,BUY,2024.01.12 17:00:00,2056.66,0.12,2053.66,2076.66,,0.00,0.00,0.00,2024.01.12 17:00:05,2053.66,0.12,SL,-36.00,0.08,-36.00,9930.88,0.958,strong_up,1.00
10,SELL,2024.01.16 19:00:04,2030.87,0.12,2033.87,2010.87,,0.00,0.00,0.00,2024.01.17 17:00:03,2011.33,0.12,TP,237.31,1319.98,237.31,10168.19,0.969,mixed,1.00
11,SELL,2024.01.17 18:00:00,2008.93,0.12,2011.93,1988.93,,0.00,0.00,0.00,2024.01.17 18:00:03,2012.02,0.12,SL,-37.08,0.05,-37.08,10131.11,0.980,mixed,1.00
12,SELL,2024.01.17 19:00:00,2005.55,0.12,2008.55,1985.55,,0.00,0.00,0.00,2024.01.18 02:00:00,2009.63,0.12,SL,-40.48,420.00,-40.48,10090.63,0.950,mixed,1.00
13,SELL,2024.01.25 15:00:00,2011.24,0.12,2014.24,1991.24,,0.00,0.00,0.00,2024.01.25 15:00:03,2014.25,0.12,SL,-36.12,0.05,-36.12,10054.51,0.887,range,1.00
14,BUY,2024.01.30 09:00:16,2038.36,0.12,2035.36,2058.36,,0.00,0.00,0.00,2024.01.30 13:00:10,2034.49,0.12,SL,-46.44,239.90,-46.44,10008.07,0.839,range,1.00
15,BUY,2024.01.30 16:00:03,2040.45,0.12,2037.45,2060.45,,0.00,0.00,0.00,2024.01.30 17:00:04,2037.45,0.12,SL,-36.00,60.02,-36.00,9972.07,0.858,range,1.00
16,BUY,2024.01.31 16:00:05,2048.65,0.12,2045.65,2068.65,,0.00,0.00,0.00,2024.01.31 21:00:03,2045.65,0.12,SL,-36.00,299.97,-36.00,9936.07,0.842,range,1.00
17,BUY,2024.02.01 18:00:03,2055.99,0.12,2052.99,2075.99,,0.00,0.00,0.00,2024.02.01 19:00:06,2052.99,0.12,SL,-36.00,60.05,-36.00,9900.07,0.843,range,1.00
18,BUY,2024.02.01 20:00:06,2056.58,0.12,2053.58,2076.58,,0.00,0.00,0.00,2024.02.02 03:00:21,2052.94,0.12,SL,-50.55,420.25,-50.55,9849.52,0.829,range,1.00
19,SELL,2024.02.05 15:00:04,2020.18,0.12,2023.18,2000.18,,0.00,0.00,0.00,2024.02.05 16:00:08,2023.79,0.12,SL,-43.32,60.07,-43.32,9806.20,0.872,range,1.00
20,SELL,2024.02.12 16:00:08,2014.91,0.12,2017.91,1994.91,,0.00,0.00,0.00,2024.02.12 19:00:10,2017.91,0.12,SL,-36.00,180.03,-36.00,9770.20,0.841,range,1.00
21,SELL,2024.02.13 15:00:05,2011.90,0.12,2014.90,1991.90,,0.00,0.00,0.00,2024.02.13 17:00:06,1991.92,0.12,TP,239.76,120.02,239.76,10009.96,0.868,range,1.00
22,SELL,2024.02.13 18:00:00,1992.30,0.12,1995.30,1972.30,,0.00,0.00,0.00,2024.02.13 18:00:06,1995.91,0.12,SL,-43.32,0.10,-43.32,9966.64,0.872,range,1.00
