run,total_return_pct,sharpe,max_dd_pct,win_rate_pct,final_balance,actual_n_trades,broke
1,-22.866,-0.017,-46.512,14.698,7713.433060367446,1143,False
2,-73.255,-0.306,-80.19,13.998,2674.5029816272836,1143,False
3,56.714,0.812,-32.501,16.36,15671.368213473315,1143,False
4,-32.078,-0.07,-70.265,14.786,6792.2253963254625,1143,False
5,10.01,0.28,-37.051,15.923,11000.96009448821,1143,False
6,3.355,0.193,-30.217,15.486,10335.481389326336,1143,False
7,3.534,0.229,-45.844,15.748,10353.372692913399,1143,False
8,-100.043,-1.417,-100.039,13.618,-4.291895013106114,749,True
9,-24.875,-0.141,-44.238,15.223,7512.544836395471,1143,False
10,-92.935,-0.628,-92.965,13.998,706.4595870515623,1143,False
11,31.891,0.487,-43.498,16.185,13189.144311461052,1143,False
12,45.73,0.627,-39.154,16.273,14572.99774978129,1143,False
13,-100.493,-1.093,-100.449,12.7,-49.25351881016104,1063,True
14,68.143,0.781,-27.716,16.71,16814.272465441823,1143,False
15,1.173,0.166,-36.696,15.486,10117.285273840773,1143,False
16,22.327,0.402,-38.555,16.273,12232.73745231844,1143,False
17,-35.852,0.074,-79.513,14.698,6414.757784776876,1143,False
18,-100.328,-0.537,-100.327,12.966,-32.801298337682965,671,True
19,-39.102,-0.487,-57.855,15.223,6089.797259842524,1143,False
20,-100.601,-0.8,-100.601,13.567,-60.066089238856875,855,True
21,30.415,0.508,-24.231,16.535,13041.541056867874,1143,False
22,-61.196,-0.248,-76.188,14.698,3880.4157375327977,1143,False
23,-34.756,-0.243,-46.337,15.136,6524.439254593173,1143,False
24,4.082,0.214,-42.624,15.311,10408.213427821536,1143,False
25,-71.944,-1.033,-79.721,14.523,2805.5762274716,1143,False
26,46.477,0.648,-34.627,16.36,14647.674495188101,1143,False
27,-37.721,-0.144,-57.361,14.611,6227.871450568696,1143,False
28,-71.468,-0.27,-82.084,13.998,2853.2215468066224,1143,False
29,-22.245,0.013,-52.093,15.573,7775.469210848651,1143,False
30,-69.523,-0.425,-83.436,13.911,3047.6922379702446,1143,False
31,-32.988,-0.104,-58.557,15.136,6701.213112860866,1143,False
32,-4.35,0.116,-38.262,15.311,9564.988510936137,1143,False
33,15.132,0.33,-37.557,16.01,11513.195895013108,1143,False
34,3.225,0.185,-44.331,15.486,10322.451853018385,1143,False
35,-100.196,-1.807,-100.195,13.347,-19.557844269476846,974,True
36,-41.624,0.415,-94.833,14.961,5837.5687734033045,1143,False
37,-66.275,-0.08,-87.055,14.261,3372.4582922134905,1143,False
38,-73.603,-0.962,-77.997,13.736,2639.6927279090114,1143,False
39,-31.716,-0.235,-44.583,15.048,6828.396944881906,1143,False
40,-16.602,0.181,-78.081,15.223,8339.823156605407,1143,False
41,-17.387,0.073,-55.364,15.311,8261.25699737532,1143,False
42,-43.736,0.058,-80.901,14.873,5626.373602799624,1143,False
43,-31.743,-0.28,-51.074,15.223,6825.674355205571,1143,False
44,-94.814,-0.327,-98.419,13.473,518.600899387573,1143,False
45,-25.544,0.015,-69.472,14.698,7445.646918635177,1143,False
46,37.605,0.578,-35.512,16.535,13760.499202099745,1143,False
47,-100.566,-1.613,-100.522,13.649,-56.60451093612937,1099,True
48,-2.643,0.158,-27.814,15.398,9735.733777777757,1143,False
49,-19.542,0.117,-66.533,14.961,8045.783471566052,1143,False
50,-21.092,0.116,-75.197,15.048,7890.790330708676,1143,False
51,-3.916,0.178,-63.826,16.185,9608.355475065635,1143,False
52,-34.425,-0.27,-56.194,15.223,6557.4992720910195,1143,False
53,-90.223,0.632,-98.317,13.386,977.7462012248798,1143,False
54,41.757,0.607,-40.909,16.448,14175.694127734077,1143,False
55,19.515,0.381,-30.59,16.01,11951.532832895891,1143,False
56,-48.164,-0.641,-58.31,14.523,5183.563839020133,1143,False
57,-49.804,-0.463,-56.37,14.786,5019.625046369211,1143,False
58,-88.585,-1.153,-89.996,13.823,1141.490523184595,1143,False
59,-43.563,0.09,-81.905,14.611,5643.681494313186,1143,False
60,-19.157,0.073,-57.628,15.573,8084.288668416439,1143,False
61,-100.101,-1.296,-100.1,13.453,-10.12601574801738,669,True
62,-100.216,-2.214,-100.202,13.586,-21.599786526663593,449,True
63,-100.354,-0.042,-100.342,13.99,-35.36831146101031,965,True
64,-19.709,0.101,-58.804,14.786,8029.058992126018,1143,False
65,-100.134,0.128,-100.131,14.058,-13.432017497829293,939,True
