Date,equity
2024-01-02,9958.0
2024-01-03,10017.52
2024-01-05,9975.24
2024-01-08,9916.72
2024-01-11,9841.47
2024-01-12,9817.47
2024-01-17,9948.99
2024-01-18,9887.79
2024-01-25,9851.67
2024-01-30,9769.23
2024-01-31,9733.23
2024-02-01,9697.23
2024-02-02,9653.55
2024-02-05,9613.84
2024-02-12,9580.84
2024-02-13,9757.3
2024-02-14,9776.98
2024-02-16,9733.54
2024-02-19,9759.58
2024-02-21,9745.12
2024-02-22,9705.52
2024-02-26,9756.82
2024-03-01,9965.86
2024-03-04,10227.58
2024-03-05,10367.54
2024-03-06,10358.54
2024-03-07,10379.39
2024-03-08,10346.47
2024-03-18,10312.47
2024-03-21,10249.47
2024-03-28,10115.57
2024-04-01,10341.82
2024-04-02,10274.72
2024-04-03,10302.07
2024-04-04,10314.07
2024-04-05,10482.87
2024-04-08,10381.07
2024-04-09,10259.39
2024-04-12,10784.18
2024-04-22,11040.49
2024-04-23,11138.26
2024-04-26,11240.76
2024-05-01,11701.2
2024-05-03,11634.76
2024-05-10,12235.0
2024-05-15,12208.0
2024-05-16,12236.47
2024-05-17,12416.56
2024-05-20,12433.86
2024-05-23,12631.11
2024-05-24,12592.68
2024-05-30,12538.5
2024-05-31,12481.98
2024-06-03,12369.84
2024-06-06,12499.84
2024-06-07,12658.650000000001
2024-06-12,12605.85
2024-06-20,12560.85
2024-06-21,12650.11
2024-06-26,12584.86
2024-06-27,12682.460000000001
2024-06-28,12637.460000000001
2024-07-03,12773.92
2024-07-04,12717.67
2024-07-05,12860.150000000001
2024-07-08,12890.6
2024-07-11,13190.45
2024-07-12,13247.970000000001
2024-07-15,13287.25
2024-07-16,13514.82
2024-07-17,13592.91
2024-07-19,13779.800000000001
2024-07-22,13606.550000000001
2024-07-24,13570.800000000001
2024-07-25,13431.400000000001
2024-07-26,13518.1
2024-07-31,13643.5
2024-08-01,13797.17
2024-08-02,13699.02
2024-08-06,13398.77
2024-08-07,13188.77
2024-08-09,12875.73
2024-08-12,12987.03
2024-08-13,13170.720000000001
2024-08-14,13077.77
2024-08-15,13024.080000000002
2024-08-16,13244.95
2024-08-19,13205.95
2024-08-20,13426.95
2024-08-26,13328.550000000001
2024-08-28,13298.550000000001
2024-08-30,13268.35
2024-09-02,13238.25
2024-09-03,13225.810000000001
2024-09-04,13170.91
2024-09-05,13036.18
2024-09-06,13010.35
2024-09-10,12958.84
2024-09-12,13267.42
2024-09-13,13522.39
2024-09-16,13562.710000000001
2024-09-18,13485.220000000001
2024-09-19,13510.78
2024-09-20,13707.32
2024-09-23,13594.94
2024-09-24,13696.970000000001
2024-09-25,13631.810000000001
2024-09-26,13672.75
2024-09-27,13606.53
2024-09-30,13459.080000000002
2024-10-04,13429.080000000002
2024-10-08,13419.010000000002
2024-10-10,13358.210000000001
2024-10-14,13323.710000000001
2024-10-15,13269.710000000001
2024-10-16,13220.18
2024-10-17,12938.78
2024-10-18,12998.970000000001
2024-10-21,13023.880000000001
2024-10-22,12899.25
2024-10-23,12985.08
2024-10-30,13177.93
2024-10-31,13123.75
2024-11-01,13033.650000000001
2024-11-04,13050.300000000001
2024-11-05,13043.800000000001
2024-11-06,12906.75
2024-11-07,12913.77
2024-11-11,13039.220000000001
2024-11-12,13240.1
2024-11-13,13208.42
2024-11-14,13242.130000000001
2024-11-18,13023.25
2024-11-19,13414.400000000001
2024-11-20,13290.17
2024-11-21,13571.54
2024-11-22,13898.94
2024-11-25,13805.67
2024-11-26,13836.57
2024-12-09,13688.27
2024-12-10,13567.67
2024-12-11,13779.27
2024-12-12,13971.87
2024-12-13,13828.87
2024-12-16,13856.67
2024-12-17,13904.54
2024-12-18,14066.84
2024-12-27,14048.720000000001
2024-12-30,14040.140000000001
2025-01-02,14098.920000000002
2025-01-03,14058.550000000001
2025-01-06,14083.990000000002
2025-01-08,14077.070000000002
2025-01-09,14109.79
2025-01-10,14046.26
2025-01-13,13998.1
2025-01-14,13804.980000000001
2025-01-16,13592.1
2025-01-17,13623.7
2025-01-21,13548.720000000001
2025-01-22,13826.550000000001
2025-01-24,13924.86
2025-01-28,13593.380000000001
2025-01-30,13484.300000000001
2025-01-31,13699.130000000001
2025-02-03,13750.32
2025-02-04,13783.900000000001
2025-02-05,13911.39
2025-02-07,13931.86
2025-02-10,13906.06
2025-02-11,14064.32
2025-02-14,14043.25
2025-02-17,13924.11
2025-02-19,13828.75
2025-02-20,13817.349999999999
2025-02-24,13778.09
2025-02-27,13611.029999999999
2025-02-28,13741.27
2025-03-04,13663.97
2025-03-05,13624.84
2025-03-07,13585.71
2025-03-12,13546.579999999998
2025-03-13,13483.65
2025-03-14,13466.169999999998
2025-03-18,13444.009999999998
2025-03-19,13357.71
2025-03-20,13350.56
2025-03-27,13320.359999999999
2025-03-28,13365.81
2025-03-31,13463.91
2025-04-01,13441.359999999999
2025-04-03,13433.859999999999
2025-04-04,13510.82
2025-04-07,13737.91
2025-04-09,13723.089999999998
2025-04-10,13837.689999999999
2025-04-11,14169.57
2025-04-14,14096.13
2025-04-16,14772.73
2025-04-17,14651.05
2025-04-21,15317.84
2025-04-22,16121.21
2025-04-23,16353.609999999999
2025-05-01,16384.829999999998
2025-05-05,16389.87
2025-05-06,16702.91
2025-05-08,15946.07
2025-05-09,15929.859999999999
2025-05-12,16168.769999999999
2025-05-14,16375.16
2025-05-15,16941.04
2025-05-21,17049.61
2025-05-22,17022.55
2025-05-23,16733.67
2025-05-27,16474.949999999997
2025-05-28,16425.989999999998
2025-05-29,16774.109999999997
2025-06-02,16759.079999999998
2025-06-03,16871.699999999997
2025-06-05,16699.789999999997
2025-06-06,16632.469999999998
2025-06-09,16561.079999999998
2025-06-12,16577.03
2025-06-13,16524.199999999997
2025-06-16,16294.189999999999
2025-06-19,16132.379999999997
2025-06-20,15940.109999999997
2025-06-24,15664.729999999996
2025-06-27,15633.799999999996
2025-06-30,15692.209999999995
2025-07-01,16149.799999999996
2025-07-03,16238.199999999997
2025-07-07,15808.779999999995
2025-07-08,15473.049999999996
2025-07-09,15010.969999999996
2025-07-11,15294.759999999995
2025-07-14,15056.709999999995
2025-07-16,15002.349999999995
2025-07-17,15046.369999999995
2025-07-21,15024.749999999996
2025-07-22,15292.869999999995
2025-07-23,15128.529999999995
2025-07-25,15275.679999999997
2025-07-28,15254.529999999995
2025-07-30,15217.899999999996
2025-08-01,14970.339999999997
2025-08-04,14867.149999999996
2025-08-05,14842.029999999995
2025-08-07,14867.609999999997
2025-08-08,14650.859999999997
2025-08-11,14538.989999999996
2025-08-12,14361.619999999995
2025-08-14,14286.609999999997
2025-08-18,14268.819999999996
2025-08-19,14169.319999999996
2025-08-20,14200.679999999997
2025-08-26,14128.999999999996
2025-08-27,14132.039999999995
2025-08-28,14110.679999999997
2025-08-29,14423.549999999996
2025-09-01,14627.399999999996
2025-09-02,14777.229999999996
2025-09-03,14833.769999999997
2025-09-05,14710.039999999997
2025-09-08,14829.469999999998
2025-09-09,14788.819999999996
2025-09-16,14789.109999999997
2025-09-17,14747.109999999997
2025-09-19,14704.409999999996
2025-09-22,14876.329999999998
2025-09-23,14998.259999999998
2025-09-29,15069.639999999998
2025-09-30,15216.019999999997
2025-10-01,15196.659999999998
2025-10-02,15151.359999999997
2025-10-06,15286.279999999999
2025-10-07,15300.019999999997
2025-10-08,15525.769999999997
2025-10-09,15423.379999999997
2025-10-10,15411.829999999998
2025-10-13,15407.599999999999
2025-10-14,15801.059999999998
2025-10-15,15536.509999999998
2025-10-16,15289.149999999998
2025-10-17,15660.549999999997
2025-10-20,15576.849999999999
2025-10-22,15936.909999999998
2025-10-27,15335.579999999998
2025-10-28,15091.109999999997
2025-11-06,14946.629999999997
2025-11-07,14662.73
2025-11-10,15656.919999999998
2025-11-11,15583.309999999998
2025-11-12,16105.91
2025-11-13,16139.84
2025-11-14,16054.72
2025-11-17,16029.779999999999
2025-11-18,15852.880000000001
2025-11-19,15944.86
2025-11-25,15714.16
2025-11-26,15656.56
2025-11-28,15857.32
2025-12-01,15647.02
2025-12-09,15493.619999999999
2025-12-11,15626.14
2025-12-12,15950.46
2025-12-18,16051.65
2025-12-22,16277.49
2025-12-23,16525.65
2025-12-24,16668.87
2025-12-26,16619.48
2025-12-29,17576.93
2025-12-30,17639.04
2025-12-31,17778.04
2026-01-05,17814.93
2026-01-06,17768.66
2026-01-07,17726.66
2026-01-09,17691.519999999997
2026-01-12,17811.079999999998
2026-01-13,17726.8
2026-01-14,17513.53
2026-01-19,17462.769999999997
2026-01-20,17702.14
2026-01-21,18058.51
2026-01-22,18481.46
2026-01-23,18631.33
2026-01-26,18967.8
2026-01-27,19249.01
2026-01-28,19399.68
2026-01-29,19804.57
2026-01-30,21937.03
2026-02-02,24819.8
2026-02-09,25199.09
2026-02-11,25245.93
2026-02-17,23305.93
2026-02-20,23293.98
2026-02-23,23479.36
2026-02-24,23397.19
2026-02-27,23329.69
2026-03-02,24798.18
2026-03-03,24674.399999999998
2026-03-12,24337.14
2026-03-13,24363.869999999995
2026-03-16,24904.32
2026-03-18,27928.94
