pos_id,side,open_time,open_price,lot,sl,tp,half_exit_time,half_exit_lot,half_exit_price,pnl_half_usd,final_close_time,final_close_price,final_close_lot,final_reason,pnl_final_usd,hold_min,total_pnl_usd,running_balance,atr_ratio,trend,multiplier
1,SELL,2024-01-02 17:37:00,2058.07,0.12,2061.07,2038.07,,0.0,0.0,0.0,2024-01-02 18:05:00,2061.07,0.12,SL,-37.956,28.0,-37.956,10299.462000000009,0.9190153976314485,mixed,1.0
2,SELL,2024-01-03 11:44:00,2055.82,0.12,2055.82,2035.82,2024-01-03 13:13:00,0.06,2052.75,17.44200000000098,2024-01-03 16:17:00,2035.82,0.06,TP,119.02200000000136,273.0,136.46400000000233,10435.92600000001,0.9613535733948999,mixed,1.0
3,SELL,2024-01-03 16:30:00,2037.0,0.13,2037.0,2017.0,2024-01-03 16:37:00,0.06,2033.48,20.141999999999886,2024-01-03 16:46:00,2037.0,0.07,SL,-1.141,16.0,19.000999999999884,10454.92700000001,0.9613535733948999,mixed,1.0
4,SELL,2024-01-03 17:17:00,2038.6,0.13,2038.6,2018.6,2024-01-03 17:40:00,0.06,2033.24,31.181999999999398,2024-01-03 21:28:00,2038.6,0.07,SL,-1.141,251.0,30.0409999999994,10484.96800000001,0.9613535733948999,mixed,1.0
5,SELL,2024-01-05 15:30:00,2030.49,0.13,2030.49,2010.49,2024-01-05 15:32:00,0.06,2026.57,22.542000000000435,2024-01-05 15:34:00,2030.49,0.07,SL,-1.141,4.0,21.401000000000437,10506.36900000001,0.8820988396889812,mixed,1.0
6,SELL,2024-01-05 15:47:00,2030.49,0.13,2033.49,2010.49,,0.0,0.0,0.0,2024-01-05 15:49:00,2033.49,0.13,SL,-41.119,2.0,-41.119,10465.25000000001,0.8820988396889812,mixed,1.0
7,SELL,2024-01-08 13:18:00,2024.34,0.13,2024.34,2004.34,2024-01-08 13:37:00,0.06,2021.21,17.80199999999929,2024-01-08 14:57:00,2024.34,0.07,SL,-1.141,99.0,16.66099999999929,10481.91100000001,0.8762677374767573,mixed,1.0
8,SELL,2024-01-08 15:01:00,2024.34,0.13,2024.34,2004.34,2024-01-08 15:14:00,0.06,2020.88,19.781999999998853,2024-01-08 15:19:00,2024.34,0.07,SL,-1.141,18.0,18.640999999998854,10500.552000000009,0.8762677374767573,mixed,1.0
9,SELL,2024-01-11 18:26:00,2016.61,0.13,2019.61,1996.61,,0.0,0.0,0.0,2024-01-11 18:49:00,2019.61,0.13,SL,-41.119,23.0,-41.119,10459.433000000008,0.9236319034773074,mixed,1.0
10,SELL,2024-01-11 19:02:00,2016.61,0.13,2016.61,1996.61,2024-01-11 19:57:00,0.06,2013.54,17.441999999999616,2024-01-11 20:06:00,2016.61,0.07,SL,-1.141,64.0,16.30099999999962,10475.734000000008,0.9236319034773074,mixed,1.0
11,BUY,2024-01-12 16:01:00,2056.71,0.13,2053.71,2076.71,,0.0,0.0,0.0,2024-01-12 16:13:00,2053.71,0.13,SL,-41.119,12.0,-41.119,10434.615000000007,0.9800860165058707,mixed,1.0
12,BUY,2024-01-12 16:22:00,2056.71,0.13,2056.71,2076.71,2024-01-12 16:35:00,0.06,2060.81,23.621999999999453,2024-01-12 16:56:00,2056.71,0.07,SL,-1.141,34.0,22.480999999999455,10457.096000000007,0.9800860165058707,mixed,1.0
13,SELL,2024-01-16 19:06:00,2031.22,0.13,2031.22,2011.22,2024-01-16 19:09:00,0.06,2026.33,28.3620000000006,2024-01-17 04:05:00,2031.22,0.07,SL,-1.141,539.0,27.2210000000006,10484.317000000008,1.0118322886330595,mixed,1.0
14,SELL,2024-01-17 05:43:00,2024.19,0.13,2024.19,2004.19,2024-01-17 07:12:00,0.06,2021.09,17.622000000000817,2024-01-17 09:44:00,2024.19,0.07,SL,-1.141,241.0,16.48100000000082,10500.79800000001,1.0118322886330595,mixed,1.0
15,SELL,2024-01-17 11:12:00,2019.35,0.13,2022.35,1999.35,,0.0,0.0,0.0,2024-01-17 11:44:00,2022.35,0.13,SL,-41.119,32.0,-41.119,10459.67900000001,1.0118322886330595,mixed,1.0
16,SELL,2024-01-17 16:11:00,2017.49,0.13,2020.49,1997.49,,0.0,0.0,0.0,2024-01-17 16:21:00,2020.49,0.13,SL,-41.119,10.0,-41.119,10418.560000000009,1.0118322886330595,mixed,1.0
17,SELL,2024-01-17 16:48:00,2017.49,0.13,2017.49,1997.49,2024-01-17 17:01:00,0.06,2012.13,31.181999999999398,2024-01-18 18:28:00,2017.49,0.07,SL,-1.141,1540.0,30.0409999999994,10448.601000000008,1.00014415075548,mixed,1.0
18,SELL,2024-01-25 15:30:00,2011.06,0.13,2014.06,1991.06,,0.0,0.0,0.0,2024-01-25 15:31:00,2014.06,0.13,SL,-41.119,1.0,-41.119,10407.482000000007,0.9189233014431648,mixed,1.0
19,BUY,2024-01-30 09:34:00,2037.46,0.12,2034.46,2057.46,,0.0,0.0,0.0,2024-01-30 13:15:00,2034.46,0.12,SL,-37.956,221.0,-37.956,10369.526000000007,0.8749181326194111,mixed,1.0
20,BUY,2024-01-30 16:09:00,2040.48,0.12,2040.48,2060.48,2024-01-30 16:21:00,0.06,2045.02,26.26199999999978,2024-01-30 17:05:00,2040.48,0.06,SL,-0.978,56.0,25.28399999999978,10394.810000000007,0.8749181326194111,mixed,1.0
21,BUY,2024-01-31 16:42:00,2048.64,0.12,2048.64,2068.64,2024-01-31 16:47:00,0.06,2052.39,21.521999999999995,2024-01-31 18:06:00,2048.64,0.06,SL,-0.978,84.0,20.543999999999993,10415.354000000007,0.8483516483516487,mixed,1.0
22,BUY,2024-01-31 18:15:00,2049.11,0.12,2046.11,2069.11,,0.0,0.0,0.0,2024-01-31 20:48:00,2046.11,0.12,SL,-37.95600000000273,153.0,-37.95600000000273,10377.398000000005,0.8483516483516487,mixed,1.0
23,BUY,2024-02-01 18:09:00,2056.07,0.12,2056.07,2076.07,2024-02-01 18:27:00,0.06,2059.78,21.282000000000217,2024-02-01 19:40:00,2056.07,0.06,SL,-0.978,91.0,20.304000000000215,10397.702000000005,0.8456726581677093,mixed,1.0
24,BUY,2024-02-01 19:54:00,2056.07,0.12,2053.07,2076.07,,0.0,0.0,0.0,2024-02-01 20:04:00,2053.07,0.12,SL,-37.956,10.0,-37.956,10359.746000000005,0.8456726581677093,mixed,1.0
25,SELL,2024-02-05 15:21:00,2020.54,0.12,2020.54,2000.54,2024-02-05 15:41:00,0.06,2017.3,18.462000000000053,2024-02-05 16:45:00,2020.54,0.06,SL,-0.978,84.0,17.48400000000005,10377.230000000005,0.8754659766908836,mixed,1.0
26,SELL,2024-02-12 16:23:00,2014.76,0.12,2017.76,1994.76,,0.0,0.0,0.0,2024-02-12 16:44:00,2017.76,0.12,SL,-37.956,21.0,-37.956,10339.274000000005,0.8407924332429789,mixed,1.0
27,SELL,2024-02-12 17:00:00,2014.76,0.12,2017.76,1994.76,,0.0,0.0,0.0,2024-02-12 19:28:00,2017.76,0.12,SL,-37.956,148.0,-37.956,10301.318000000005,0.8407924332429789,mixed,1.0
28,SELL,2024-02-13 15:42:00,2011.75,0.12,2011.75,1991.75,2024-02-13 15:48:00,0.06,2008.02,21.402000000000108,2024-02-13 17:05:00,1991.75,0.06,TP,119.022,83.0,140.42400000000012,10441.742000000006,0.8716654221540867,mixed,1.0
29,SELL,2024-02-13 17:15:00,1991.21,0.13,1994.21,1971.21,,0.0,0.0,0.0,2024-02-13 17:21:00,1994.21,0.13,SL,-41.119,6.0,-41.119,10400.623000000005,0.8716654221540867,mixed,1.0
30,SELL,2024-02-13 17:30:00,1993.4,0.12,1996.4,1973.4,,0.0,0.0,0.0,2024-02-13 18:37:00,1996.4,0.12,SL,-37.956,67.0,-37.956,10362.667000000005,0.8716654221540867,mixed,1.0
31,SELL,2024-02-14 03:15:00,1989.97,0.12,1992.97,1969.97,,0.0,0.0,0.0,2024-02-14 04:03:00,1992.97,0.12,SL,-37.956,48.0,-37.956,10324.711000000005,0.8650559084590902,mixed,1.0
32,SELL,2024-02-14 10:06:00,1988.75,0.12,1991.75,1968.75,,0.0,0.0,0.0,2024-02-14 12:34:00,1991.75,0.12,SL,-37.956,148.0,-37.956,10286.755000000005,0.8650559084590902,mixed,1.0
33,SELL,2024-02-14 17:01:00,1985.92,0.12,1988.92,1965.92,,0.0,0.0,0.0,2024-02-14 17:05:00,1988.92,0.12,SL,-37.956,4.0,-37.956,10248.799000000005,0.8650559084590902,mixed,1.0
34,SELL,2024-02-14 17:16:00,1985.92,0.12,1988.92,1965.92,,0.0,0.0,0.0,2024-02-14 18:04:00,1988.92,0.12,SL,-37.956,48.0,-37.956,10210.843000000004,0.8650559084590902,mixed,1.0
35,BUY,2024-02-16 20:07:00,2014.5,0.12,2011.5,2034.5,,0.0,0.0,0.0,2024-02-16 20:25:00,2011.5,0.12,SL,-37.956,18.0,-37.956,10172.887000000004,0.8956602031394281,mixed,1.0
36,BUY,2024-02-16 21:02:00,2014.5,0.12,2011.5,2034.5,,0.0,0.0,0.0,2024-02-16 22:00:00,2011.5,0.12,SL,-37.956,58.0,-37.956,10134.931000000004,0.8956602031394281,mixed,1.0
37,BUY,2024-02-19 01:12:00,2015.24,0.12,2012.24,2035.24,,0.0,0.0,0.0,2024-02-19 01:18:00,2012.24,0.12,SL,-37.956,6.0,-37.956,10096.975000000004,0.8713096558319231,mixed,1.0
38,BUY,2024-02-19 02:12:00,2015.24,0.12,2015.24,2035.24,2024-02-19 02:59:00,0.06,2018.74,20.022,2024-02-19 17:50:00,2015.24,0.06,SL,-0.978,938.0,19.043999999999997,10116.019000000004,0.8713096558319231,mixed,1.0
