Date,equity
2024-01-02,9949.392
2024-01-03,10197.168000000001
2024-01-05,10137.356000000003
2024-01-08,10220.487999999998
2024-01-11,10153.875999999998
2024-01-12,10133.459999999997
2024-01-17,10090.947999999999
2024-01-18,10131.219999999998
2024-01-25,10080.611999999997
2024-01-30,10051.206999999999
2024-01-31,10010.57899999999
2024-02-01,9969.553999999991
2024-02-05,10010.512999999992
2024-02-12,9839.710999999992
2024-02-13,9970.401999999993
2024-02-14,9628.797999999992
2024-02-16,9461.158999999992
2024-02-19,9420.182999999992
2024-02-21,9377.256999999994
2024-02-22,9295.018999999993
2024-02-26,9332.250999999995
2024-03-01,9771.208999999984
2024-03-04,10288.062999999986
2024-03-05,10559.287999999984
2024-03-06,10485.534999999985
2024-03-07,10414.581999999986
2024-03-08,10513.794999999984
2024-03-12,10486.248999999983
2024-03-18,10514.625999999982
2024-03-21,10861.616999999982
2024-03-28,10785.898999999976
2024-04-01,11105.888999999974
2024-04-02,11079.796999999975
2024-04-03,11110.970999999974
2024-04-04,11075.638999999974
2024-04-05,11213.517999999976
2024-04-08,11461.617999999973
2024-04-09,11532.897999999972
2024-04-12,12362.438999999966
2024-04-22,12455.81399999997
2024-04-23,12624.448999999966
2024-04-26,12667.619999999964
2024-04-30,12479.783999999965
2024-05-01,12554.407999999963
2024-05-03,12336.160999999964
2024-05-07,12260.248999999963
2024-05-09,12304.010999999966
2024-05-10,12514.411999999964
2024-05-15,12512.101999999964
2024-05-16,12525.921999999966
2024-05-17,12595.288999999964
2024-05-20,12674.352999999968
2024-05-23,13147.399999999965
2024-05-24,13112.516999999965
2024-05-30,13049.256999999965
2024-05-31,12985.996999999965
2024-06-03,12954.376999999962
2024-06-06,12905.737999999961
2024-06-07,12881.46499999996
2024-06-10,12925.30499999996
2024-06-12,12824.08899999996
2024-06-20,12873.43299999996
2024-06-21,13020.930999999962
2024-06-26,13043.36299999996
2024-06-27,13090.994999999957
2024-06-28,13114.866999999957
2024-07-03,13329.665999999954
2024-07-05,13186.188999999957
2024-07-11,13409.115999999955
2024-07-15,13445.464999999953
2024-07-16,13568.653999999951
2024-07-17,13552.243999999951
2024-07-19,13535.09799999995
2024-07-22,13608.66599999995
2024-07-24,13539.07999999995
2024-07-25,13169.618999999951
2024-07-31,13255.53299999995
2024-08-01,13309.213999999949
2024-08-02,13331.347999999947
2024-08-06,13040.797999999952
2024-08-07,12797.24699999995
2024-08-08,12756.12799999995
2024-08-09,12586.494999999952
2024-08-12,12662.777999999953
2024-08-13,12680.75899999995
2024-08-14,12598.520999999952
2024-08-15,12475.163999999952
2024-08-16,12621.485999999953
2024-08-19,12639.646999999954
2024-08-20,12717.129999999954
2024-08-26,12647.543999999954
2024-08-28,12612.750999999953
2024-08-30,12581.120999999954
2024-09-02,12563.410999999953
2024-09-03,12554.360999999952
2024-09-04,12522.730999999952
2024-09-05,12408.862999999952
2024-09-06,12378.424999999952
2024-09-10,12321.49099999995
2024-09-12,12588.718999999957
2024-09-13,12795.95299999996
2024-09-16,12820.01899999996
2024-09-17,12763.08499999996
2024-09-18,12739.396999999959
2024-09-19,12704.60399999996
2024-09-20,12836.191999999957
2024-09-23,12753.479999999956
2024-09-24,12896.947999999958
2024-09-25,12912.80899999996
2024-09-26,12849.121999999958
2024-09-27,12814.328999999958
2024-09-30,12748.183999999956
2024-10-08,12799.797999999955
2024-10-14,12764.590999999955
2024-10-15,12707.656999999956
2024-10-16,12590.261999999957
2024-10-17,12362.525999999958
2024-10-18,12399.929999999957
2024-10-21,12547.601999999957
2024-10-22,12433.733999999957
2024-10-23,12404.339999999956
2024-10-30,12522.219999999958
2024-10-31,12480.829999999958
2024-11-01,12417.569999999958
2024-11-04,12433.93999999996
2024-11-05,12426.079999999962
2024-11-06,12410.127999999964
2024-11-07,12449.372999999965
2024-11-11,12724.987999999968
2024-11-12,12935.154999999966
2024-11-13,12852.916999999967
2024-11-14,13541.232999999964
2024-11-18,13455.831999999962
2024-11-19,13859.47199999996
2024-11-20,13646.607999999958
2024-11-21,13600.205999999956
