ver,slip_$/oz,Sharpe,Return%,Calmar,Sortino,MaxDD%,slip_cost$
V10,0.0,3.057,162.9,3.207,6.938,-15.4,0.0
V10,0.05,2.511,134.1,2.237,5.493,-18.9,2884.0
V10,0.1,1.968,105.2,1.512,4.135,-23.0,5768.0
V10,0.2,0.936,47.5,0.421,1.812,-41.6,11536.0
V10,0.3,0.117,-10.2,-0.065,0.206,-66.8,17305.0
V10,0.5,-0.551,-125.5,-0.762,-0.442,-131.2,28841.0
V11,0.0,2.609,185.8,3.173,5.068,-17.2,0.0
V11,0.05,2.132,152.1,2.204,3.988,-21.2,3372.0
V11,0.1,1.665,118.3,1.417,3.01,-27.1,6744.0
V11,0.2,0.81,50.9,0.389,1.373,-47.9,13488.0
V11,0.3,0.251,-16.5,-0.093,0.413,-77.5,20233.0
V11,0.5,0.829,-151.4,-0.682,3.169,-146.5,33721.0
