pos_id,side,open_time,open_price,lot,sl,tp,half_exit_time,half_exit_lot,half_exit_price,pnl_half_usd,final_close_time,final_close_price,final_close_lot,final_reason,pnl_final_usd,hold_min,total_pnl_usd,running_balance
1,SELL,2024.01.02 17:00:20,2058.31,0.14,2061.31,2038.31,,0.0,0.0,0.0,2024.01.02 18:00:10,2061.31,0.14,SL,-42.0,59.83,-42.0,9958.0
2,SELL,2024.01.03 11:00:19,2055.98,0.08,2055.98,2035.98,2024.01.03 14:00:00,0.04,2047.65,33.32,2024.01.03 16:00:15,2035.98,0.04,TP,80.0,299.93,113.32,10071.32
3,SELL,2024.01.03 17:00:00,2037.93,0.08,2040.93,2017.93,,0.0,0.0,0.0,2024.01.03 17:00:01,2040.94,0.08,SL,-24.08,0.02,-24.08,10047.24
4,SELL,2024.01.03 18:00:00,2032.62,0.15,2035.62,2012.62,,0.0,0.0,0.0,2024.01.03 18:00:08,2036.06,0.15,SL,-51.6,0.13,-51.6,9995.64
5,SELL,2024.01.03 21:00:08,2030.65,0.08,2033.75,2010.75,,0.0,0.0,0.0,2024.01.03 21:00:10,2033.75,0.08,SL,-24.8,0.03,-24.8,9970.84
6,SELL,2024.01.05 15:00:16,2030.65,0.14,2033.65,2010.65,,0.0,0.0,0.0,2024.01.05 15:00:23,2033.67,0.14,SL,-42.28,0.12,-42.28,9928.56
7,SELL,2024.01.08 13:00:05,2024.52,0.13,2024.52,2004.52,2024.01.08 14:00:00,0.07,2020.17,30.45,2024.01.08 14:00:14,2024.97,0.06,SL,-2.7,60.15,27.75,9956.31
8,SELL,2024.01.08 15:00:00,2024.68,0.25,2024.68,2004.68,2024.01.08 16:00:00,0.13,2018.99,73.97,2024.01.08 16:00:06,2024.68,0.12,SL,-0.0,60.1,73.97,10030.28
9,SELL,2024.01.11 18:00:05,2016.79,0.26,2019.8,1996.8,,0.0,0.0,0.0,2024.01.11 21:00:03,2019.8,0.26,SL,-78.26,179.97,-78.26,9952.02
10,BUY,2024.01.12 17:00:00,2056.66,0.08,2053.66,2076.66,,0.0,0.0,0.0,2024.01.12 17:00:05,2053.66,0.08,SL,-24.0,0.08,-24.0,9928.02
