pos_id,side,open_time,open_price,lot,sl,tp,half_exit_time,half_exit_lot,half_exit_price,pnl_half_usd,final_close_time,final_close_price,final_close_lot,final_reason,pnl_final_usd,hold_min,total_pnl_usd,running_balance
1,SELL,2024.01.02 17:00:20,2058.31,0.1,2061.31,2038.31,,0.0,0.0,0.0,2024.01.02 18:00:10,2061.31,0.1,SL,-30.0,59.83,-30.0,9970.0
2,SELL,2024.01.03 11:00:19,2055.98,0.1,2058.98,2035.98,,0.0,0.0,0.0,2024.01.03 16:00:15,2035.98,0.1,TP,200.0,299.93,200.0,10170.0
3,SELL,2024.01.03 17:00:00,2037.93,0.1,2040.93,2017.93,,0.0,0.0,0.0,2024.01.03 17:00:01,2040.94,0.1,SL,-30.1,0.02,-30.1,10139.9
4,SELL,2024.01.03 18:00:00,2032.62,0.37,2035.62,2012.62,,0.0,0.0,0.0,2024.01.03 18:00:08,2036.06,0.37,SL,-127.28,0.13,-127.28,10012.62
5,SELL,2024.01.03 21:00:08,2030.65,0.1,2033.75,2010.75,,0.0,0.0,0.0,2024.01.03 21:00:10,2033.75,0.1,SL,-31.0,0.03,-31.0,9981.62
6,SELL,2024.01.05 15:00:16,2030.65,0.1,2033.65,2010.65,,0.0,0.0,0.0,2024.01.05 15:00:23,2033.67,0.1,SL,-30.2,0.12,-30.2,9951.42
7,SELL,2024.01.08 13:00:05,2024.52,0.1,2027.52,2004.52,,0.0,0.0,0.0,2024.01.08 17:00:04,2028.7,0.1,SL,-41.8,239.98,-41.8,9909.62
8,SELL,2024.01.11 18:00:05,2016.79,0.36,2019.8,1996.8,,0.0,0.0,0.0,2024.01.11 21:00:03,2019.8,0.36,SL,-108.36,179.97,-108.36,9801.26
9,BUY,2024.01.12 17:00:00,2056.66,0.1,2053.66,2076.66,,0.0,0.0,0.0,2024.01.12 17:00:05,2053.66,0.1,SL,-30.0,0.08,-30.0,9771.26
10,SELL,2024.01.16 19:00:04,2030.87,0.35,2030.87,2010.87,2024.01.17 07:00:00,0.18,2025.46,97.38,2024.01.17 17:00:04,2010.87,0.16999999999999998,TP,340.0,1320.0,437.38,10208.64
11,SELL,2024.01.17 18:00:00,2008.93,0.37,2011.93,1988.93,,0.0,0.0,0.0,2024.01.17 18:00:03,2012.02,0.37,SL,-114.33,0.05,-114.33,10094.31
12,SELL,2024.01.17 19:00:00,2005.55,0.36,2008.55,1985.55,,0.0,0.0,0.0,2024.01.18 02:00:00,2009.63,0.36,SL,-146.88,420.0,-146.88,9947.43
13,SELL,2024.01.25 15:00:00,2011.24,0.08,2014.24,1991.24,,0.0,0.0,0.0,2024.01.25 15:00:03,2014.25,0.08,SL,-24.08,0.05,-24.08,9923.35
14,BUY,2024.01.30 09:00:16,2038.36,0.08,2034.62,2057.62,,0.0,0.0,0.0,2024.01.30 13:00:10,2034.49,0.08,SL,-30.96,239.9,-30.96,9892.39
15,BUY,2024.01.30 16:00:03,2040.45,0.08,2037.45,2060.45,,0.0,0.0,0.0,2024.01.30 17:00:04,2037.45,0.08,SL,-24.0,60.02,-24.0,9868.39
16,BUY,2024.01.31 16:00:05,2048.65,0.08,2045.65,2068.65,,0.0,0.0,0.0,2024.01.31 21:00:03,2045.65,0.08,SL,-24.0,299.97,-24.0,9844.39
17,BUY,2024.02.01 18:00:03,2055.99,0.08,2052.99,2075.99,,0.0,0.0,0.0,2024.02.01 19:00:06,2052.99,0.08,SL,-24.0,60.05,-24.0,9820.39
18,BUY,2024.02.01 20:00:06,2056.58,0.08,2052.99,2075.99,,0.0,0.0,0.0,2024.02.02 03:00:21,2052.94,0.08,SL,-29.12,420.25,-29.12,9791.27
