pos_id,side,open_time,open_price,lot,sl,tp,half_exit_time,half_exit_lot,half_exit_price,pnl_half_usd,final_close_time,final_close_price,final_close_lot,final_reason,pnl_final_usd,hold_min,total_pnl_usd,running_balance
1,SELL,2024.01.02 17:00:20,2058.31,0.12,2061.31,2038.31,,0.0,0.0,0.0,2024.01.02 18:00:10,2061.31,0.12,SL,-36.0,59.83,-36.0,9964.0
2,SELL,2024.01.03 11:00:19,2055.98,0.12,2058.98,2035.98,,0.0,0.0,0.0,2024.01.03 16:00:15,2035.98,0.12,TP,240.0,299.93,240.0,10204.0
3,SELL,2024.01.03 17:00:00,2037.93,0.14,2040.93,2017.93,,0.0,0.0,0.0,2024.01.03 17:00:01,2040.94,0.14,SL,-42.14,0.02,-42.14,10161.86
4,SELL,2024.01.03 18:00:00,2032.62,0.14,2035.62,2012.62,,0.0,0.0,0.0,2024.01.03 18:00:08,2036.06,0.14,SL,-48.16,0.13,-48.16,10113.7
5,SELL,2024.01.03 21:00:08,2030.65,0.13,2033.75,2010.75,,0.0,0.0,0.0,2024.01.03 21:00:10,2033.75,0.13,SL,-40.3,0.03,-40.3,10073.4
6,SELL,2024.01.05 15:00:16,2030.65,0.13,2033.65,2010.65,,0.0,0.0,0.0,2024.01.05 15:00:23,2033.67,0.13,SL,-39.26,0.12,-39.26,10034.14
7,SELL,2024.01.08 13:00:05,2024.52,0.2,2027.52,2004.52,,0.0,0.0,0.0,2024.01.08 17:00:04,2028.7,0.2,SL,-83.6,239.98,-83.6,9950.54
8,SELL,2024.01.11 18:00:05,2016.79,0.2,2019.8,1996.8,,0.0,0.0,0.0,2024.01.11 21:00:03,2019.8,0.2,SL,-60.2,179.97,-60.2,9890.34
9,BUY,2024.01.12 17:00:00,2056.66,0.21,2053.66,2076.66,,0.0,0.0,0.0,2024.01.12 17:00:05,2053.66,0.21,SL,-63.0,0.08,-63.0,9827.34
10,SELL,2024.01.16 19:00:04,2030.87,0.19,2030.87,2010.87,2024.01.17 07:00:00,0.1,2025.46,54.1,2024.01.17 17:00:04,2010.87,0.09,TP,180.0,1320.0,234.1,10061.44
11,SELL,2024.01.17 18:00:00,2008.93,0.18,2011.93,1988.93,,0.0,0.0,0.0,2024.01.17 18:00:03,2012.02,0.18,SL,-55.62,0.05,-55.62,10005.82
12,SELL,2024.01.17 19:00:00,2005.55,0.18,2008.55,1985.55,,0.0,0.0,0.0,2024.01.18 02:00:00,2009.63,0.18,SL,-73.44,420.0,-73.44,9932.38
13,SELL,2024.01.25 15:00:00,2011.24,0.14,2014.24,1991.24,,0.0,0.0,0.0,2024.01.25 15:00:03,2014.25,0.14,SL,-42.14,0.05,-42.14,9890.24
14,BUY,2024.01.30 09:00:16,2038.36,0.14,2034.62,2057.62,,0.0,0.0,0.0,2024.01.30 13:00:10,2034.49,0.14,SL,-54.18,239.9,-54.18,9836.06
15,BUY,2024.01.30 16:00:03,2040.45,0.13,2037.45,2060.45,,0.0,0.0,0.0,2024.01.30 17:00:04,2037.45,0.13,SL,-39.0,60.02,-39.0,9797.06
16,BUY,2024.01.31 16:00:05,2048.65,0.13,2045.65,2068.65,,0.0,0.0,0.0,2024.01.31 21:00:03,2045.65,0.13,SL,-39.0,299.97,-39.0,9758.06
17,BUY,2024.02.01 18:00:03,2055.99,0.13,2052.99,2075.99,,0.0,0.0,0.0,2024.02.01 19:00:06,2052.99,0.13,SL,-39.0,60.05,-39.0,9719.06
18,BUY,2024.02.01 20:00:06,2056.58,0.13,2052.99,2075.99,,0.0,0.0,0.0,2024.02.02 03:00:21,2052.94,0.13,SL,-47.32,420.25,-47.32,9671.74
19,SELL,2024.02.05 15:00:04,2020.18,0.12,2023.7,2000.7,,0.0,0.0,0.0,2024.02.05 16:00:08,2023.79,0.12,SL,-43.32,60.07,-43.32,9628.42
20,SELL,2024.02.12 16:00:08,2014.91,0.12,2017.91,1994.91,,0.0,0.0,0.0,2024.02.12 19:00:10,2017.91,0.12,SL,-36.0,180.03,-36.0,9592.42
21,SELL,2024.02.13 15:00:05,2011.9,0.14,2014.92,1991.92,,0.0,0.0,0.0,2024.02.13 17:00:06,1991.92,0.14,TP,279.72,120.02,279.72,9872.14
22,SELL,2024.02.13 18:00:00,1992.3,0.14,1995.3,1972.3,,0.0,0.0,0.0,2024.02.13 18:00:06,1995.91,0.14,SL,-50.54,0.1,-50.54,9821.6
23,SELL,2024.02.13 19:00:00,1994.96,0.14,1994.96,1974.96,2024.02.14 12:00:00,0.07,1991.29,25.69,2024.02.14 19:00:14,1995.35,0.07,SL,-2.73,1440.23,22.96,9844.56
24,BUY,2024.02.16 21:00:02,2014.91,0.12,2011.46,2034.46,,0.0,0.0,0.0,2024.02.16 22:00:21,2011.29,0.12,SL,-43.44,60.32,-43.44,9801.12
25,BUY,2024.02.19 02:00:02,2015.53,0.12,2015.53,2035.53,2024.02.19 06:00:00,0.06,2019.87,26.04,2024.02.19 17:00:20,2015.53,0.06,SL,0.0,900.3,26.04,9827.16
26,BUY,2024.02.20 11:00:07,2023.04,0.12,2023.04,2043.04,2024.02.20 15:00:00,0.06,2026.72,22.08,2024.02.21 02:00:41,2022.97,0.06,SL,-0.42,900.57,21.66,9848.82
27,BUY,2024.02.21 05:00:43,2030.93,0.12,2027.92,2050.92,,0.0,0.0,0.0,2024.02.21 10:00:10,2027.92,0.12,SL,-36.12,299.45,-36.12,9812.7
28,BUY,2024.02.22 10:00:05,2032.57,0.12,2029.27,2052.27,,0.0,0.0,0.0,2024.02.22 11:00:13,2029.27,0.12,SL,-39.6,60.13,-39.6,9773.1
29,BUY,2024.02.23 17:00:08,2029.4,0.14,2029.4,2049.4,2024.02.23 20:00:00,0.07,2037.95,59.85,2024.02.26 16:00:08,2029.4,0.07,SL,0.0,4260.0,59.85,9832.95
30,BUY,2024.02.29 15:00:05,2041.38,0.14,2041.38,2061.38,2024.02.29 19:00:00,0.07,2044.97,25.13,2024.03.01 10:00:10,2041.27,0.07,SL,-0.77,1140.08,24.36,9857.31
31,BUY,2024.03.01 12:00:10,2052.1,0.15,2047.78,2070.78,,0.0,0.0,0.0,2024.03.01 16:00:08,2047.78,0.15,SL,-64.8,239.97,-64.8,9792.51
32,BUY,2024.03.01 17:00:02,2057.51,0.15,2054.5,2077.5,,0.0,0.0,0.0,2024.03.01 18:00:06,2077.51,0.15,TP,300.0,60.07,300.0,10092.51
33,BUY,2024.03.01 19:00:00,2081.15,0.15,2081.15,2101.15,2024.03.01 22:00:00,0.08,2085.28,33.04,2024.03.04 03:00:16,2080.64,0.06999999999999999,SL,-3.57,3360.27,29.47,10121.98
34,BUY,2024.03.04 15:00:07,2088.33,0.11,2085.33,2108.33,,0.0,0.0,0.0,2024.03.04 17:00:08,2108.33,0.11,TP,220.0,120.02,220.0,10341.98
35,BUY,2024.03.04 18:00:00,2109.16,0.11,2109.16,2129.16,2024.03.04 20:00:00,0.06,2116.5,44.04,2024.03.05 15:00:03,2129.16,0.05,TP,100.0,1260.05,144.04,10486.02
36,BUY,2024.03.05 16:00:00,2127.77,0.13,2124.77,2147.77,,0.0,0.0,0.0,2024.03.05 16:00:02,2124.33,0.13,SL,-44.72,0.03,-44.72,10441.3
37,BUY,2024.03.06 16:00:04,2141.83,0.13,2138.83,2161.83,,0.0,0.0,0.0,2024.03.06 17:00:04,2138.83,0.13,SL,-39.0,60.0,-39.0,10402.3
38,BUY,2024.03.06 18:00:05,2141.83,0.13,2141.83,2161.83,2024.03.06 20:00:00,0.07,2144.83,21.0,2024.03.06 21:00:12,2141.83,0.06,SL,0.0,180.12,21.0,10423.3
